SSID, BSS, RSSI, Kanal, Datum
"qwerz", "00:81:C4:E6:69:12", "-75", "11", "18:35:09"
"qwerz", "00:81:C4:E6:69:12", "-72", "11", "18:35:13"
"qwerz", "00:81:C4:E6:69:12", "-72", "11", "18:35:18"
"qwerz", "00:81:C4:E6:69:12", "-64", "11", "18:35:22"
"qwerz", "00:81:C4:E6:69:12", "-64", "11", "18:35:26"
"qwerz", "00:81:C4:E6:69:12", "-69", "11", "18:35:30"
"qwerz", "00:81:C4:E6:69:12", "-66", "11", "18:35:34"
"qwerz", "00:81:C4:E6:69:12", "-60", "11", "18:35:39"
"qwerz", "00:81:C4:E6:69:12", "-54", "11", "18:35:43"
"qwerz", "00:81:C4:E6:69:12", "-32", "11", "18:35:47"
"qwerz", "00:81:C4:E6:69:12", "-35", "11", "18:35:52"
"qwerz", "00:81:C4:E6:69:12", "-40", "11", "18:35:56"
"qwerz", "00:81:C4:E6:69:12", "-47", "11", "18:36:00"
"qwerz", "00:81:C4:E6:69:12", "-48", "11", "18:36:04"
"qwerz", "00:81:C4:E6:69:12", "-62", "11", "18:36:09"
"qwerz", "00:81:C4:E6:69:12", "-66", "11", "18:36:13"
"qwerz", "00:81:C4:E6:69:12", "-63", "11", "18:36:17"
"qwerz", "00:81:C4:E6:69:12", "-69", "11", "18:36:21"
"qwerz", "00:81:C4:E6:69:12", "-60", "11", "18:36:26"
"qwerz", "00:81:C4:E6:69:12", "-59", "11", "18:36:30"
"qwerz", "00:81:C4:E6:69:12", "-66", "11", "18:36:35"
"qwerz", "00:81:C4:E6:69:12", "0", "11", "18:36:40"
"qwerz", "00:81:C4:7C:7C:7D", "-72", "36", "18:35:13"
"qwerz", "00:81:C4:7C:7C:7D", "-66", "36", "18:35:18"
"qwerz", "00:81:C4:7C:7C:7D", "-66", "36", "18:35:22"
"qwerz", "00:81:C4:7C:7C:7D", "-63", "36", "18:35:26"
"qwerz", "00:81:C4:7C:7C:7D", "-59", "36", "18:35:30"
"qwerz", "00:81:C4:7C:7C:7D", "-57", "36", "18:35:34"
"qwerz", "00:81:C4:7C:7C:7D", "-49", "36", "18:35:39"
"qwerz", "00:81:C4:7C:7C:7D", "-48", "36", "18:35:43"
"qwerz", "00:81:C4:7C:7C:7D", "-63", "36", "18:35:47"
"qwerz", "00:81:C4:7C:7C:7D", "-61", "36", "18:35:52"
"qwerz", "00:81:C4:7C:7C:7D", "-64", "36", "18:35:56"
"qwerz", "00:81:C4:7C:7C:7D", "-66", "36", "18:36:00"
"qwerz", "00:81:C4:7C:7C:7D", "-68", "36", "18:36:04"
"qwerz", "00:81:C4:7C:7C:7D", "-69", "36", "18:36:09"
"qwerz", "00:81:C4:7C:7C:7D", "-72", "36", "18:36:13"
"qwerz", "00:81:C4:7C:7C:7D", "-67", "36", "18:36:17"
"qwerz", "00:81:C4:7C:7C:7D", "-75", "36", "18:36:21"
"qwerz", "00:81:C4:7C:7C:7D", "-76", "36", "18:36:26"
"qwerz", "00:81:C4:7C:7C:7D", "-77", "36", "18:36:30"
"qwerz", "00:81:C4:7C:7C:7D", "-81", "36", "18:36:35"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-72", "36", "18:35:13"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-66", "36", "18:35:18"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-66", "36", "18:35:22"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-62", "36", "18:35:26"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-60", "36", "18:35:30"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-60", "36", "18:35:34"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-48", "36", "18:35:39"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-48", "36", "18:35:43"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-64", "36", "18:35:47"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-60", "36", "18:35:52"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-63", "36", "18:35:56"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-67", "36", "18:36:00"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-68", "36", "18:36:04"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-69", "36", "18:36:09"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-73", "36", "18:36:13"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-67", "36", "18:36:17"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-74", "36", "18:36:21"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-76", "36", "18:36:26"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-75", "36", "18:36:30"
"BVG Wi-Fi", "00:81:C4:7C:7C:7F", "-75", "36", "18:36:35"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-80", "1", "18:35:09"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-70", "1", "18:35:13"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-64", "1", "18:35:18"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-63", "1", "18:35:22"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-63", "1", "18:35:26"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-52", "1", "18:35:30"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-47", "1", "18:35:34"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-33", "1", "18:35:39"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-53", "1", "18:35:43"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-50", "1", "18:35:47"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-52", "1", "18:35:52"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-56", "1", "18:35:56"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-56", "1", "18:36:00"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-54", "1", "18:36:04"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-60", "1", "18:36:09"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-53", "1", "18:36:13"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-58", "1", "18:36:17"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-64", "1", "18:36:21"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-66", "1", "18:36:26"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-68", "1", "18:36:30"
"BVG Wi-Fi", "00:81:C4:7C:7C:70", "-73", "1", "18:36:35"
"qwerz", "00:81:C4:7C:7C:72", "-73", "1", "18:35:09"
"qwerz", "00:81:C4:7C:7C:72", "-76", "1", "18:35:13"
"qwerz", "00:81:C4:7C:7C:72", "-64", "1", "18:35:18"
"qwerz", "00:81:C4:7C:7C:72", "-66", "1", "18:35:22"
"qwerz", "00:81:C4:7C:7C:72", "-65", "1", "18:35:26"
"qwerz", "00:81:C4:7C:7C:72", "-55", "1", "18:35:30"
"qwerz", "00:81:C4:7C:7C:72", "-57", "1", "18:35:34"
"qwerz", "00:81:C4:7C:7C:72", "-54", "1", "18:35:39"
"qwerz", "00:81:C4:7C:7C:72", "-34", "1", "18:35:43"
"qwerz", "00:81:C4:7C:7C:72", "-53", "1", "18:35:47"
"qwerz", "00:81:C4:7C:7C:72", "-51", "1", "18:35:52"
"qwerz", "00:81:C4:7C:7C:72", "-54", "1", "18:35:56"
"qwerz", "00:81:C4:7C:7C:72", "-55", "1", "18:36:00"
"qwerz", "00:81:C4:7C:7C:72", "-55", "1", "18:36:04"
"qwerz", "00:81:C4:7C:7C:72", "-62", "1", "18:36:09"
"qwerz", "00:81:C4:7C:7C:72", "-65", "1", "18:36:13"
"qwerz", "00:81:C4:7C:7C:72", "-51", "1", "18:36:17"
"qwerz", "00:81:C4:7C:7C:72", "-62", "1", "18:36:21"
"qwerz", "00:81:C4:7C:7C:72", "-66", "1", "18:36:26"
"qwerz", "00:81:C4:7C:7C:72", "-66", "1", "18:36:30"
"qwerz", "00:81:C4:7C:7C:72", "-69", "1", "18:36:35"
"qwerz", "00:81:C4:E6:69:1D", "-80", "40", "18:35:13"
"qwerz", "00:81:C4:E6:69:1D", "-75", "40", "18:35:18"
"qwerz", "00:81:C4:E6:69:1D", "-71", "40", "18:35:22"
"qwerz", "00:81:C4:E6:69:1D", "-74", "40", "18:35:26"
"qwerz", "00:81:C4:E6:69:1D", "-69", "40", "18:35:30"
"qwerz", "00:81:C4:E6:69:1D", "-72", "40", "18:35:34"
"qwerz", "00:81:C4:E6:69:1D", "-67", "40", "18:35:39"
"qwerz", "00:81:C4:E6:69:1D", "-62", "40", "18:35:43"
"qwerz", "00:81:C4:E6:69:1D", "-47", "40", "18:35:47"
"qwerz", "00:81:C4:E6:69:1D", "-45", "40", "18:35:52"
"qwerz", "00:81:C4:E6:69:1D", "-55", "40", "18:35:56"
"qwerz", "00:81:C4:E6:69:1D", "-71", "40", "18:36:00"
"qwerz", "00:81:C4:E6:69:1D", "-61", "40", "18:36:04"
"qwerz", "00:81:C4:E6:69:1D", "-65", "40", "18:36:09"
"qwerz", "00:81:C4:E6:69:1D", "-75", "40", "18:36:13"
"qwerz", "00:81:C4:E6:69:1D", "-71", "40", "18:36:17"
"qwerz", "00:81:C4:E6:69:1D", "-76", "40", "18:36:21"
"qwerz", "00:81:C4:E6:69:1D", "-76", "40", "18:36:26"
"qwerz", "00:81:C4:E6:69:1D", "-74", "40", "18:36:30"
"qwerz", "00:81:C4:E6:69:1D", "-80", "40", "18:36:35"
"someone's wifi", "C0:25:06:33:EE:C9", "-83", "1", "18:35:09"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:13"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:18"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:22"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:26"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:30"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:34"
"someone's wifi", "C0:25:06:33:EE:C9", "-91", "1", "18:35:39"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-86", "40", "18:35:09"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-86", "40", "18:35:13"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-75", "40", "18:35:18"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-71", "40", "18:35:22"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-75", "40", "18:35:26"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-69", "40", "18:35:30"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-72", "40", "18:35:34"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-67", "40", "18:35:39"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-62", "40", "18:35:43"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-47", "40", "18:35:47"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-46", "40", "18:35:52"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-55", "40", "18:35:56"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-71", "40", "18:36:00"
"BVG Wi-Fi", "00:81:C4:E6:69:1F", "-61", "40", "18:36:04"
